Date;amount;name;Solde
05/01/2023;-54;PRLV SEPA TOTALENERGIES ELECTRI;15655,56
05/01/2023;-19,99;PRLV SEPA FREE TELECOM;15635,57
11/01/2023;427,55;VIR MANGOPAY;16063,12
01/01/2023;-12;F COTIS EUC.CONFORT;16051,12
13/01/2023;427,55;VIR MANGOPAY;16478,67
15/01/2023;-1175,31;ECH PRET CAP+IN 08922 213949 04;15303,36
16/01/2023;-31,7;PRLV SEPA MATMUT CO;15271,66
16/01/2023;-390,01;PRLV SEPA DRAGON-MIROIRS;14881,65
17/01/2023;427,55;VIR MANGOPAY;15309,2
17/01/2023;427,55;VIR MANGOPAY1;15736,75
17/01/2023;427,55;VIR MANGOPAY2;16164,3
20/01/2023;-14,06;PRLV SEPA DRAGON-MIROIRS;16150,24
20/01/2023;-15,7;PRLV SEPA DRAGON-MIROIRS;16134,54
06/02/2023;-54;PRLV SEPA TOTALENERGIES ELECTRI;16080,54
06/02/2023;-19,99;PRLV SEPA FREE TELECOM;16060,55
01/02/2023;-12;F COTIS EUC.CONFORT;16048,55
15/02/2023;-390,02;PRLV SEPA DRAGON-MIROIRS;15658,53
15/02/2023;-31,7;PRLV SEPA MATMUT CO;15626,83
15/02/2023;-1175,31;ECH PRET CAP+IN 08922 213949 04;14451,52
16/02/2023;427,55;VIR MANGOPAY;14879,07
17/02/2023;427,55;VIR MANGOPAY;15306,62
17/02/2023;427,55;VIR MANGOPAY1;15734,17
17/02/2023;427,55;VIR MANGOPAY2;16161,72
17/02/2023;427,55;VIR MANGOPAY3;16589,27
20/02/2023;-14,07;PRLV SEPA DRAGON-MIROIRS;16575,2
20/02/2023;-15,7;PRLV SEPA DRAGON-MIROIRS;16559,5
06/03/2023;-54;PRLV SEPA TOTALENERGIES ELECTRI;16505,5
06/03/2023;-19,99;PRLV SEPA FREE TELECOM;16485,51
01/03/2023;-12;F COTIS EUC.CONFORT;16473,51
15/03/2023;-31,7;PRLV SEPA MATMUT CO;16441,81
15/03/2023;-1175,31;ECH PRET CAP+IN 08922 213949 04;15266,5
16/03/2023;427,55;VIR MANGOPAY;15694,05
17/03/2023;427,55;VIR MANGOPAY;16121,6
17/03/2023;427,55;VIR MANGOPAY1;16549,15
17/03/2023;427,55;VIR MANGOPAY2;16976,7
22/03/2023;427,55;VIR MANGOPAY3;17404,25
01/04/2023;-12;F COTIS EUC.CONFORT;17392,25
06/04/2023;-19,99;PRLV SEPA FREE TELECOM;17372,26
06/04/2023;-98;PRLV SEPA TOTALENERGIES ELECTRI;17274,26
12/04/2023;427,55;VIR MANGOPAY;17701,81
15/04/2023;-1175,31;ECH PRET CAP+IN 08922 213949 04;16526,5
17/04/2023;-31,7;PRLV SEPA MATMUT CO;16494,8
18/04/2023;427,55;VIR MANGOPAY;16922,35
19/04/2023;427,55;VIR MANGOPAY;17349,9
19/04/2023;427,55;VIR MANGOPAY1;17777,45
19/04/2023;427,55;VIR MANGOPAY2;18205
01/05/2023;-12;F COTIS EUC.CONFORT;18193
05/05/2023;-19,99;PRLV SEPA FREE TELECOM;18173,01
05/05/2023;-98;PRLV SEPA TOTALENERGIES ELECTRI;18075,01
09/05/2023;427,55;VIR MANGOPAY;18502,56
15/05/2023;-1175,31;ECH PRET CAP+IN 08922 213949 04;17327,25
15/05/2023;-31,7;PRLV SEPA MATMUT CO;17295,55
16/05/2023;1400;VIR MATMUT & CO;18695,55
16/05/2023;-15;VIR 102780892200021394905;18680,55
18/05/2023;427,55;VIR MANGOPAY;19108,1
18/05/2023;427,55;VIR MANGOPAY1;19535,65
22/05/2023;427,55;VIR MANGOPAY;19963,2
22/05/2023;427,55;VIR MANGOPAY1;20390,75
01/06/2023;-12;F COTIS EUC.CONFORT;20378,75
01/06/2023;126,5;VIR MATMUT & CO;20505,25
01/06/2023;-14000;VIR TRANSFERT LIVRET A BLEU;6505,25
05/06/2023;-136;PRLV SEPA TOTALENERGIES ELECTRI;6369,25
06/06/2023;-19,99;PRLV SEPA FREE TELECOM;6349,26
07/06/2023;427,55;VIR MANGOPAY;6776,81
15/06/2023;-1175,31;ECH PRET CAP+IN 08922 213949 04;5601,5
15/06/2023;427,55;VIR MANGOPAY;6029,05
15/06/2023;-31,7;PRLV SEPA MATMUT CO;5997,35
19/06/2023;427,55;VIR MANGOPAY;6424,9
19/06/2023;427,55;VIR MANGOPAY1;6852,45
19/06/2023;427,55;VIR MANGOPAY2;7280
20/06/2023;-6,06;PRLV SEPA DRAGON-MIROIRS;7273,94
27/06/2023;-1029;PRLV SEPA SARL BUDIZ;6244,94
01/07/2023;-12;F COTIS EUC.CONFORT;6232,94
05/07/2023;-136;PRLV SEPA TOTALENERGIES ELECTRI;6096,94
06/07/2023;-19,99;PRLV SEPA FREE TELECOM;6076,95
07/07/2023;427,55;VIR MANGOPAY;6504,5
11/07/2023;-169,42;PRLV SEPA SYNDICAT DRAGON MIROI;6335,08
11/07/2023;-19,55;PRLV SEPA SYNDICAT DRAGON MIROI;6315,53
14/07/2023;427,55;VIR MANGOPAY;6743,08
15/07/2023;-1175,31;ECH PRET CAP+IN 08922 213949 04;5567,77
17/07/2023;-31,7;PRLV SEPA MATMUT CO;5536,07
18/07/2023;427,55;VIR MANGOPAY;5963,62
19/07/2023;-2689,5;VIR SEPA DEGAT DES EAUX 2 - LG;3274,12
19/07/2023;-126,5;VIR SEPA DEGAT DES EAUX 1 - LOU;3147,62
19/07/2023;-198;VIR SEPA SIPHON DEGAT EAUX;2949,62
20/07/2023;427,55;VIR MANGOPAY;3377,17
01/08/2023;-12;F COTIS EUC.CONFORT;3365,17
04/08/2023;-19,99;PRLV SEPA FREE TELECOM;3345,18
04/08/2023;427,55;VIR MANGOPAY;3772,73
07/08/2023;-136;PRLV SEPA TOTALENERGIES ELECTRI;3636,73
08/08/2023;427,55;VIR MANGOPAY;4064,28
10/08/2023;-19,55;PRLV SEPA SYNDICAT DRAGON MIROI;4044,73
10/08/2023;-169,42;PRLV SEPA SYNDICAT DRAGON MIROI;3875,31
15/08/2023;-1175,31;ECH PRET CAP+IN 08922 213949 04;2700
15/08/2023;427,55;VIR MANGOPAY;3127,55
15/08/2023;427,55;VIR MANGOPAY;3555,1
16/08/2023;-31,7;PRLV SEPA MATMUT CO;3523,4
17/08/2023;427,55;VIR MANGOPAY;3950,95
01/09/2023;-12;F COTIS EUC.CONFORT;3938,95
04/09/2023;416,75;VIR MANGOPAY;4355,7
05/09/2023;-136;PRLV SEPA TOTALENERGIES ELECTRI;4219,7
06/09/2023;-19,99;PRLV SEPA FREE TELECOM;4199,71
07/09/2023;361,18;VIR MANGOPAY;4560,89
13/09/2023;-19,55;PRLV SEPA SYNDICAT DRAGON MIROI;4541,34
13/09/2023;-169,42;PRLV SEPA SYNDICAT DRAGON MIROI;4371,92
15/09/2023;-1175,31;ECH PRET CAP+IN 08922 213949 04;3196,61
15/09/2023;-31,7;PRLV SEPA MATMUT CO;3164,91
18/09/2023;416,75;VIR MANGOPAY;3581,66
18/09/2023;416,75;VIR MANGOPAY;3998,41
01/10/2023;-12;F COTIS EUC.CONFORT;3986,41
02/10/2023;1289,5;VIR MATMUT & CO;5275,91
05/10/2023;416,75;VIR MANGOPAY;5692,66
05/10/2023;-19,99;PRLV SEPA FREE TELECOM;5672,67
05/10/2023;-136;PRLV SEPA TOTALENERGIES ELECTRI;5536,67
09/10/2023;361,18;VIR MANGOPAY;5897,85
10/10/2023;416,75;VIR MANGOPAY;6314,6
11/10/2023;-169,42;PRLV SEPA SYNDICAT DRAGON MIROI;6145,18
11/10/2023;-19,55;PRLV SEPA SYNDICAT DRAGON MIROI;6125,63
15/10/2023;-1175,31;ECH PRET CAP+IN 08922 213949 04;4950,32
16/10/2023;416,75;VIR MANGOPAY;5367,07
16/10/2023;416,75;VIR MANGOPAY1;5783,82
16/10/2023;-31,7;PRLV SEPA MATMUT CO;5752,12
18/10/2023;416,75;VIR MANGOPAY;6168,87
26/10/2023;-1632;PRLV SEPA DIRECTION GENERALE DE;4536,87
31/10/2023;416,75;VIR MANGOPAY;4953,62
01/11/2023;-12;F COTIS EUC.CONFORT;4941,62
06/11/2023;-136;PRLV SEPA TOTALENERGIES ELECTRI;4805,62
07/11/2023;-29,99;PRLV SEPA FREE TELECOM;4775,63
07/11/2023;361,18;VIR MANGOPAY;5136,81
07/11/2023;416,75;VIR MANGOPAY1;5553,56
09/11/2023;-169,42;PRLV SEPA SYNDICAT DRAGON MIROI;5384,14
09/11/2023;-19,55;PRLV SEPA SYNDICAT DRAGON MIROI;5364,59
15/11/2023;-1174,18;ECH PRET CAP+IN 08922 213949 04;4190,41
15/11/2023;-31,7;PRLV SEPA MATMUT CO;4158,71
17/11/2023;416,75;VIR MANGOPAY;4575,46
20/11/2023;416,75;VIR MANGOPAY;4992,21
23/11/2023;416,75;VIR MANGOPAY;5408,96
01/12/2023;-12;F COTIS EUC.CONFORT;5396,96
06/12/2023;-29,99;PRLV SEPA FREE TELECOM;5366,97
07/12/2023;416,75;VIR MANGOPAY;5783,72
07/12/2023;416,75;VIR MANGOPAY1;6200,47
11/12/2023;-19,52;PRLV SEPA SYNDICAT DRAGON MIROI;6180,95
11/12/2023;-169,38;PRLV SEPA SYNDICAT DRAGON MIROI;6011,57
15/12/2023;-1174,18;ECH PRET CAP+IN 08922 213949 04;4837,39
15/12/2023;-31,7;PRLV SEPA MATMUT CO;4805,69
18/12/2023;190,08;VIR MANGOPAY;4995,77
19/12/2023;427,55;VIR MANGOPAY;5423,32
20/12/2023;427,55;VIR MANGOPAY;5850,87
27/12/2023;-297,03;PRLV SEPA TOTALENERGIES ELECTRI;5553,84
